Endpoint slug,Type,Use case,Scenario,Arguments,Request Body,Returns,Description,Data sensitivity,summary,API Label,responseOK,security,CRUDL model
API tag: config,,,,,,,,,,,,,
CRUDL for Policy object,,,,,,,,,,,,,
/config/policy/,POST,UC-C-PIC-A-001,,,Policy*,"Policy, Revision",CREATE - Creates a new Policy object and returns the new object and a PolicyRevision,FALSE,,configCreatePolicy,"A set consisting of the new Policy object created, together with the initial Revision object.",org,Policy
/config/policy/{policyId}/,GET,UC-C-PIC-A-003,,revisionId,,"Policy, Revision","READ - get a Policy object + latest Revision. If a PolicyFilter is supplied and contains a revisionId, then this specific revision is returned.",FALSE,,configReadPolicy,,org,Policy
/config/policy/{policyId}/revisions/,GET,UC-C-PIC-A-003,,,,Policy,LIST - returns the current Policy,FALSE,,configListPolicyRevisions,,org,Revision
/config/policy/{policyId}/,PUT,UC-C-PIC-A-002,,,Policy*,"Policy, Revision","UPDATE - Updates an existing Policy object, returning the updated version and a new revision. Updating a Policy must not affect existing active references in DataAgreement, the new Revision should be specified for Agreement.",FALSE,,configUpdatePolicy,,org,Policy
/config/policy/{policyId}/,DELETE,UC-C-PIC-A-004,,,,Revision,"DELETE - Deletes an existing Policy object, returning the updated version and a new revision. Deleting a Policy is not possible if it's associated with active DataAgreement.",FALSE,,configDeletePolicy,,org,Policy
/config/policies/,GET,"UC-C-PIC-A-001, UC-C-PIC-A-002",,revisionId,,Policy<List>,LIST - Fetches list of readable Policy objects,FALSE,Returns a list of readable Policy objects,configListPolicy,A list of Policy objects readable for the current session's credentials.,admin,Policy
CRUDL for DataAgreement object,,,,,,,,FALSE,,,,org,
/config/data-agreement/{dataAgreementId}/,GET,UC-C-PIC-A-003,,,,"DataAgreement, Revision",READ - fetches the latest version of an Agreement,FALSE,,configReadAgreement,,org,DataAgreement
/config/data-agreement/,POST,UC-C-PIC-A-001,,,DataAgreement*,"DataAgreement, Revision",CREATE - A new DataAgreement object is created and returned together with a Revision,FALSE,,configCreateAgreement,,org,DataAgreement
/config/data-agreement/{dataAgreementId}/,PUT,UC-C-PIC-A-002,,,DataAgreement*,"DataAgreement, Revision",UPDATE - An existing DataAgreement object is created and returned together with a new Revision,FALSE,,configUpdateAgreement,,org,DataAgreement
/config/data-agreement/{dataAgreementId}/,DELETE,UC-C-PIC-A-004,,,,Revision,,FALSE,,configDeleteAgreement,,org,DataAgreement
/config/data-agreements/,GET,UC-C-PIC-A-003,,filterDataAgreementName,,DataAgreement<List>,LIST - fetch all DataAgreements,FALSE,,configListAgreement,,org,DataAgreement
"CRUDL for ""Individual"" object (configuration and onboarding)",,,,,,,,TRUE,,,,org,Individual
/config/individual/,POST,,,,Individual*,Individual,CREATE - Creates an Individual in the Consent system,TRUE,,serviceIndividualCreate,,org,Individual
/config/individual/{individualId}/,GET,,,,,Individual,READ - Fetch an Individual in the Consent system,TRUE,,serviceIndividualRead,,org,Individual
/config/individuals/,GET,,,"filterFunctionalId, filterFoundationalId",,Individual<List>,LIST - lists individuals in the system,TRUE,,serviceIndividualList,,org,Individual
,,,,,,,,FALSE,,,,,
API tag: service,,,,,,,,,,,,,
"CRUDL for ""Individual"" object",,,,,,,,TRUE,,,,org,Individual
/service/individual/,POST,,,,Individual*,Individual,CREATE - Creates an Individual in the Consent system,TRUE,,serviceIndividualCreate,,org,Individual
/service/individual/{individualId}/,GET,,,,,Individual,READ - Fetch an Individual in the Consent system,TRUE,,serviceIndividualRead,,org,Individual
/service/individual/{individualId}/,PUT,,,,Individual*,Individual,UPDATE - Updates an Individual in the Consent system,TRUE,,serviceIndividualUpdate,,org,Individual
/service/individuals/,GET,,,"filterFunctionalId, filterFoundationalId",,Individual<List>,LIST - lists individuals in the system,TRUE,,serviceIndividualList,,org,Individual
"Read operation for ""Agreement"" object",,,,,,,,FALSE,,,,,
/service/data-agreement/{dataAgreementId}/,GET,UC-C-PIC-A-003,,,,"DataAgreement, Revision",READ - fetches the latest version of an Agreement,FALSE,,serviceAgreementRead,,org,DataAgreement
"Read operation for ""Policy"" object",,,,,,,,FALSE,,,,,
/service/policy/{policyId}/,GET,UC-C-PIC-A-003,,revisionId,,"Policy, Revision",READ - fetches the latest version of a Policy and the presented revisionId of an associated Agreement,FALSE,,servicePolicyRead,,org,Policy
"List operation for ""DataAgreementAttribute"" object",,,,,,,,FALSE,,,,,
/service/data-agreement/{dataAgreementId}/attributes/,GET,UC-C-PIC-A-003,,revisionId,,DataAgreementAttribute<List>,READ - fetches a list of latest versions of AgreementData associated with an Agreement and the presented revisionId of that Agreement,FALSE,,serviceAgreementDataRead,,org,DataAgreementAttribute
Verification mechanisms,,,,,,,,FALSE,,,,,
